pcRegister[17],7.53µm
pcRegister[18],7.53µm
_0377_,7.52µm
net228,7.52µm
_0009_,7.5µm
_0334_,7.48µm
s1_axi_arready,7.44µm
_0134_,7.405µm
_0144_,7.345µm
_0132_,7.265µm
_0048_,7.26µm
_0057_,7.23µm
_0253_,7.22µm
net232,7.22µm
_0140_,7.205µm
_0197_,7.18µm
_0250_,7.18µm
net219,7.18µm
net94,7.15µm
_0072_,7.14µm
_0033_,7.1µm
_0288_,7µm
_0115_,6.94µm
u_axi_decoder.wr_state\[1\],6.92µm
net200,6.9µm
_0036_,6.86µm
u_vga_controller.H_count\[9\],6.86µm
net229,6.82µm
_0101_,6.8µm
_0116_,6.8µm
_0213_,6.795µm
_0376_,6.76µm
_0156_,6.72µm
net201,6.72µm
_0208_,6.7µm
_0297_,6.66µm
_0129_,6.645µm
_0322_,6.64µm
_0312_,6.48µm
_0331_,6.48µm
net177,6.48µm
_0063_,6.45µm
u_axi_decoder.aw_latched,6.4µm
_0067_,6.38µm
_0102_,6.37µm
_0269_,6.36µm
net237,6.32µm
_0174_,6.3µm
net176,6.3µm
_0081_,6.24µm
_0013_,6.18µm
net158,6.18µm
net223,6.18µm
_0268_,6.14µm
_0113_,6.02µm
_0275_,6.02µm
_0131_,5.985µm
_0224_,5.96µm
_0051_,5.92µm
_0265_,5.92µm
net207,5.86µm
_0178_,5.82µm
net173,5.8µm
net234,5.8µm
_0010_,5.68µm
_0336_,5.68µm
net230,5.68µm
net183,5.6µm
_0137_,5.48µm
_0011_,5.46µm
_0059_,5.39µm
_0070_,5.39µm
_0007_,5.34µm
_0031_,5.34µm
_0277_,5.34µm
net225,5.26µm
_0168_,5.24µm
_0238_,5.22µm
_0249_,5.22µm
_0255_,5.22µm
_0367_,5.22µm
_0029_,5.14µm
_0195_,5.14µm
_0075_,5.1µm
_0084_,5.1µm
_0111_,5.1µm
_0293_,5.075µm
_0044_,5.07µm
_0379_,5.06µm
_0003_,5µm
_0034_,5µm
_0171_,5µm
net190,4.925µm
_0161_,4.92µm
net235,4.92µm
_0090_,4.9µm
_0193_,4.88µm
_0308_,4.88µm
_0180_,4.8µm
_0223_,4.8µm
_0300_,4.8µm
_0402_,4.78µm
_0181_,4.76µm
_0330_,4.76µm
_0047_,4.73µm
_0021_,4.68µm
_0060_,4.61µm
net172,4.6µm
net204,4.6µm
_0089_,4.54µm
u_vga_registers.w_latched,4.54µm
_0104_,4.51µm
_0341_,4.48µm
_0055_,4.47µm
_0016_,4.46µm
net182,4.46µm
_0179_,4.42µm
net218,4.42µm
net197,4.36µm
_0020_,4.34µm
_0182_,4.34µm
_0086_,4.22µm
_0186_,4.14µm
net184,4.14µm
_0041_,4.08µm
_0080_,4.08µm
net166,4.08µm
_0071_,4.05µm
_0362_,4µm
net165,4µm
net180,4µm
net213,4µm
_0386_,3.9µm
_0261_,3.88µm
net220,3.88µm
_0069_,3.86µm
_0092_,3.76µm
_0170_,3.76µm
_0226_,3.74µm
_0103_,3.69µm
_0203_,3.68µm
net185,3.68µm
_0106_,3.66µm
_0169_,3.64µm
_0329_,3.64µm
_0121_,3.56µm
net214,3.56µm
_0014_,3.54µm
_0264_,3.54µm
_0338_,3.54µm
net179,3.54µm
_0023_,3.52µm
_0398_,3.52µm
_0325_,3.44µm
_0212_,3.42µm
_0259_,3.42µm
_0346_,3.32µm
_0164_,3.3µm
_0087_,3.23µm
_0093_,3.23µm
_0100_,3.23µm
_0119_,3.2µm
net162,3.2µm
net202,3.2µm
_0166_,3.18µm
_0187_,3.18µm
_0105_,3.15µm
net210,3.1µm
_0152_,3.08µm
_0285_,3.08µm
_0097_,3.06µm
_0096_,2.96µm
_0382_,2.96µm
_0159_,2.925µm
_0120_,2.885µm
_0018_,2.84µm
_0040_,2.84µm
_0064_,2.84µm
_0073_,2.84µm
_0079_,2.84µm
_0380_,2.84µm
net178,2.76µm
net215,2.76µm
net222,2.76µm
_0005_,2.74µm
_0157_,2.74µm
_0298_,2.74µm
_0015_,2.72µm
_0112_,2.69µm
_0114_,2.69µm
_0035_,2.62µm
_0150_,2.62µm
_0155_,2.62µm
_0345_,2.62µm
net175,2.62µm
net238,2.62µm
_0109_,2.5µm
_0289_,2.5µm
net198,2.5µm
_0024_,2.38µm
_0046_,2.38µm
_0061_,2.38µm
_0083_,2.38µm
_0139_,2.375µm
_0136_,2.325µm
_0184_,2.3µm
net186,2.3µm
_0012_,2.28µm
_0028_,2.28µm
_0030_,2.28µm
_0062_,2.28µm
_0172_,2.18µm
net227,2.18µm
_0004_,2.16µm
_0017_,2.16µm
_0025_,2.16µm
_0053_,2.16µm
_0165_,2.16µm
_0342_,2.16µm
net170,2.16µm
net193,2.16µm
net205,2.16µm
net209,2.16µm
_0125_,2.08µm
_0022_,2.04µm
_0247_,2.04µm
_0260_,2.04µm
_0278_,2.04µm
_0149_,2.025µm
_0135_,1.865µm
_0173_,1.84µm
_0372_,1.84µm
net157,1.84µm
net163,1.84µm
net203,1.84µm
_0042_,1.82µm
_0043_,1.82µm
_0049_,1.82µm
_0058_,1.82µm
_0065_,1.82µm
_0074_,1.82µm
_0107_,1.82µm
_0154_,1.82µm
_0188_,1.82µm
_0056_,1.7µm
_0076_,1.7µm
_0162_,1.7µm
_0177_,1.7µm
_0233_,1.7µm
_0327_,1.7µm
net188,1.7µm
net192,1.7µm
net195,1.67µm
_0122_,1.575µm
_0124_,1.575µm
_0008_,1.38µm
_0343_,1.38µm
net187,1.38µm
net194,1.38µm
net217,1.38µm
_0006_,1.36µm
_0032_,1.36µm
_0037_,1.36µm
_0039_,1.36µm
_0066_,1.36µm
_0068_,1.36µm
_0077_,1.36µm
_0078_,1.36µm
_0088_,1.36µm
_0094_,1.36µm
_0095_,1.36µm
_0098_,1.36µm
_0151_,1.36µm
_0321_,0.92µm
net189,0.92µm
net191,0.92µm
net199,0.92µm
net226,0.92µm
net236,0.92µm
_0205_,0.46µm
net181,0.46µm
net212,0.46µm
